secteur,taille,localisation,anciennete_annees,nb_employes,chiffre_affaires,nb_transactions_mois,montant_moyen_transaction,pct_cash,pct_mobile_money,pct_banque,diversification_paiement,pct_transactions_usd,charges_exploitation,resultat_net,marge_nette,solde_caisse_moyen,entrees_tresorerie_mois,sorties_tresorerie_mois,flux_tresorerie_net,remboursements_dettes_mois,variabilite_ca,ratio_liquidite,ratio_endettement,couverture_dette,nb_retards_paiement_12m,jours_retard_moyen,nb_factures_impayees,taux_recouvrement_creances,delai_paiement_fournisseurs,delai_recouvrement_jours,creances_sur_ca,regularite_paiement_mobile,regularite_paiement_fournisseurs,pct_activite_informelle,ecart_taux_change,appartenance_association,score_reseau_communautaire,pct_clients_recurrents,score_reputation_terrain,part_credit_informel,exposition_zones_instables,diversification_activites,stock_securite_jours,score_debrouillardise,usage_whatsapp_business,social_media_abonnes,social_media_sentiment,social_media_freq_publication,conso_energie_kwh,tendance_energie,conso_eau_m3,trafic_web_mensuel,nb_avis_en_ligne,note_avis_moyenne,regularite_paiement_energie,regularite_paiement_eau,regularite_paiement_loyer,default
Agriculture,Petite,Kinshasa,8.3,12,108905525.0,84,108041.0,0.85,0.1499,0.0,0.255,0.8248,72282599.0,36622926.0,0.3363,9934148.0,10677613.0,10014273.0,663340.0,705178.0,0.1684,1.04,2.05,0.26,1,8.0,3,0.4972,28.0,41.0,0.714,0.7588,0.8898,0.4606,0.0226,0,0.5973,0.5719,0.464,0.2008,0.1604,0.2893,10.0,0.4002,1,8.0,0.2257,7,338.0,-0.0169,11.0,48.0,16,3.3,0.7879,0.914,0.6262,1
TIC,Moyenne,Mbuji-Mayi,1.5,16,52960597.0,81,54486.0,0.8469,0.1332,0.0199,0.2646,0.7115,35988362.0,16972235.0,0.3205,1279265.0,3615628.0,3548853.0,66775.0,531985.0,0.1526,1.16,0.63,2.56,1,4.0,2,0.8874,49.0,98.0,0.2171,0.7495,0.3572,0.7006,0.0065,1,0.3497,0.8066,0.5314,0.1827,0.1384,0.3715,6.0,0.6887,0,14.0,-0.1496,7,106.0,0.0463,13.0,1725.0,6,3.7,0.568,0.6809,0.5484,0
TIC,Micro,Kolwezi,8.0,7,5717286.0,65,7330.0,0.7812,0.1983,0.0205,0.35,0.46,3898222.0,1819064.0,0.3182,267716.0,524970.0,458593.0,66377.0,42392.0,0.3372,0.34,1.56,0.9,2,28.0,4,0.6422,64.0,33.0,0.4432,0.6931,0.9475,0.9506,0.0716,0,0.3999,0.527,0.6178,0.3308,0.279,0.3975,0.0,0.8632,1,4.0,0.06,10,850.0,-0.0924,6.0,105.0,10,3.8,0.7892,0.7418,0.7217,0
Construction,Micro,Kinshasa,1.6,53,690240.0,85,677.0,0.783,0.1339,0.0832,0.3621,0.35,480442.0,209798.0,0.3039,85827.0,60862.0,62980.0,-2118.0,10418.0,0.2027,1.43,2.51,1.84,2,19.0,6,0.568,32.0,30.0,0.5616,0.6255,0.7499,0.7829,0.0237,0,0.5217,0.304,0.8351,0.5507,0.6524,0.4494,26.0,0.7598,0,113.0,-0.0655,14,84.0,-0.034,52.0,574.0,14,4.0,0.793,0.683,0.536,0
Commerce,Micro,Bukavu,0.5,14,20918134.0,76,22937.0,0.7913,0.1531,0.0556,0.3473,0.2336,16990591.0,3927543.0,0.1878,1398383.0,1616166.0,1587851.0,28315.0,221069.0,0.3948,0.58,0.73,1.16,2,35.0,3,0.3595,78.0,76.0,0.8181,0.7861,0.832,0.6157,0.0604,1,0.6853,0.7576,0.6512,0.5332,0.6256,0.3541,0.0,0.5569,0,45.0,0.2232,10,494.0,0.0318,5.0,246.0,10,3.5,0.7377,0.7979,0.4184,0
Agriculture,Moyenne,Kinshasa,3.6,6,38197543.0,76,41883.0,0.8973,0.0675,0.0352,0.1891,0.1854,25454100.0,12743443.0,0.3336,5315268.0,3155125.0,2662580.0,492545.0,352213.0,0.1413,0.84,0.76,1.46,1,37.0,3,0.8496,17.0,15.0,0.9471,0.5822,0.4313,0.7555,0.0056,1,0.5064,0.6237,0.4353,0.6123,0.2449,0.8394,4.0,0.5347,1,522.0,0.4872,6,268.0,0.1497,11.0,1991.0,10,2.7,0.8341,0.8413,0.509,0
Construction,Petite,Kinshasa,1.1,3,3964660.0,72,4589.0,0.8622,0.1293,0.0084,0.2398,0.2283,2862746.0,1101914.0,0.2779,372474.0,385627.0,303216.0,82411.0,66530.0,0.1644,0.88,3.8,1.8,0,16.0,3,0.7873,34.0,65.0,1.3181,0.5108,0.608,0.8878,0.0578,1,0.5093,0.4689,0.8043,0.2955,0.2891,0.5115,1.0,0.6729,0,114.0,0.3016,12,64.0,0.0042,15.0,2596.0,14,2.3,0.466,0.6335,0.4662,1
Agriculture,Micro,Lubumbashi,7.1,3,14497004.0,72,16779.0,0.7986,0.1782,0.0232,0.3299,0.5584,9386722.0,5110282.0,0.3525,330025.0,1378959.0,1224439.0,154520.0,132541.0,0.1762,0.52,3.54,1.83,1,8.0,4,0.5289,41.0,53.0,0.6851,0.6426,0.2387,0.3899,0.0282,1,0.3441,0.6168,0.9491,0.0748,0.4177,0.4392,7.0,0.565,0,12.0,-0.243,6,117.0,0.0541,20.0,944.0,8,2.6,0.4009,0.5168,0.3324,0
Commerce,Moyenne,Matadi,5.1,9,10676559.0,80,11121.0,0.7931,0.2056,0.0013,0.3287,0.5577,7878555.0,2798004.0,0.2621,1571178.0,841897.0,770437.0,71460.0,195534.0,0.1494,1.19,1.14,1.76,1,10.0,4,0.7767,18.0,54.0,1.4553,0.8092,0.881,0.8706,0.0234,1,0.619,0.696,0.7434,0.5826,0.6996,0.6861,1.0,0.3638,0,161.0,0.1643,9,130.0,-0.0408,24.0,15666.0,11,3.6,0.7718,0.6704,0.6694,0
Manufacture,Micro,Kinshasa,12.9,4,16603824.0,76,18206.0,0.8351,0.1424,0.0226,0.2818,0.3792,14952077.0,1651747.0,0.0995,1016409.0,1321826.0,1202193.0,119633.0,194782.0,0.4219,1.03,2.37,1.05,0,1.0,2,0.6014,29.0,31.0,0.9006,0.7365,0.7051,0.8653,0.0046,0,0.7722,0.8586,0.7954,0.4903,0.1,0.4111,23.0,0.549,0,1076.0,0.4805,5,1064.0,0.1086,15.0,27.0,5,2.8,0.7567,0.7091,0.6534,0
TIC,Micro,Goma,7.6,28,7620591.0,78,8142.0,0.8482,0.0851,0.0668,0.2689,0.4218,5007870.0,2612721.0,0.3429,517909.0,562679.0,580751.0,-18072.0,126262.0,0.4492,0.51,1.44,0.55,3,2.0,2,0.8503,34.0,76.0,0.4934,0.6253,0.6225,0.7083,0.0432,0,0.87,0.3754,0.7532,0.113,0.1739,0.5364,1.0,0.7868,1,96.0,-0.5256,6,612.0,0.0032,38.0,527.0,6,3.1,0.4389,0.9044,0.8408,0
Services,Petite,Goma,1.0,23,68930768.0,66,87034.0,0.9129,0.0859,0.0012,0.1592,0.2087,58734312.0,10196456.0,0.1479,9538893.0,5565117.0,5333174.0,231943.0,1309960.0,0.3187,2.08,0.17,0.36,4,5.0,1,0.5008,67.0,82.0,0.4642,0.4265,0.5933,0.8958,0.0436,0,0.6456,0.8859,0.7112,0.5239,0.109,0.6863,20.0,0.6124,0,339.0,0.4229,6,524.0,0.086,66.0,610.0,3,2.7,0.788,0.5213,0.7224,0
Manufacture,Micro,Kisangani,8.1,12,17497397.0,77,18937.0,0.9322,0.0654,0.0024,0.1267,0.1984,11041216.0,6456181.0,0.369,2347127.0,1548696.0,1377630.0,171066.0,196320.0,0.2919,3.76,6.15,1.58,2,3.0,4,0.7431,53.0,44.0,0.4659,0.4706,0.9027,0.6613,0.019,0,0.4356,0.4878,0.9279,0.2165,0.4045,0.6963,14.0,0.7079,1,33.0,0.0786,8,61.0,-0.0153,12.0,325.0,8,4.1,0.7859,0.6886,0.7073,0
Commerce,Moyenne,Kinshasa,5.1,2,5102187.0,81,5249.0,0.8464,0.1121,0.0415,0.2693,0.8295,3079356.0,2022831.0,0.3965,556408.0,416990.0,401854.0,15136.0,56872.0,0.3947,0.82,1.19,1.64,2,2.0,1,0.7529,32.0,55.0,0.7677,0.6866,0.2416,0.8026,0.0049,0,0.5214,0.2892,0.9748,0.166,0.3592,0.3213,44.0,0.3667,0,52.0,0.1422,15,708.0,-0.0312,26.0,276.0,6,4.0,0.8888,0.9184,0.4825,0
Manufacture,Micro,Bukavu,5.5,4,44055228.0,76,48306.0,0.6878,0.2011,0.111,0.4742,0.3999,25715772.0,18339456.0,0.4163,939677.0,4001528.0,3418690.0,582838.0,970829.0,0.196,0.7,2.64,1.25,2,9.0,9,0.5891,57.0,50.0,0.6729,0.6829,0.5857,0.7746,0.0847,0,0.3591,0.7754,0.8537,0.6473,0.4769,0.4556,11.0,0.8392,1,967.0,0.4484,11,582.0,0.0706,34.0,1515.0,6,4.4,0.8644,0.7354,0.7353,0
Mines,Petite,Bukavu,8.9,20,3213833.0,82,3266.0,0.7005,0.2417,0.0579,0.4475,0.3219,2932782.0,281051.0,0.0875,65775.0,300706.0,297633.0,3073.0,159689.0,0.171,0.7,5.2,1.42,2,12.0,0,0.7169,48.0,27.0,0.4917,0.5478,0.656,0.6971,0.179,0,0.4348,0.3758,0.7832,0.1978,0.2182,0.4182,20.0,0.4789,0,7397.0,0.0754,11,214.0,0.0019,23.0,4403.0,14,3.1,0.7419,0.6541,0.6775,0
Commerce,Petite,Bukavu,4.3,4,68434884.0,89,64078.0,0.8635,0.1241,0.0124,0.2388,0.3636,52082636.0,16352248.0,0.2389,2954482.0,5292475.0,5369633.0,-77158.0,1374302.0,0.5127,0.93,1.53,1.16,1,26.0,2,0.7414,61.0,41.0,1.0782,0.7384,0.4822,0.8333,0.0111,1,0.709,0.321,0.795,0.5917,0.4334,0.261,25.0,0.7502,1,15.0,0.8544,10,162.0,-0.0182,17.0,176.0,12,3.2,0.8925,0.3846,0.6517,0
Manufacture,Micro,Matadi,3.1,18,48123025.0,74,54193.0,0.808,0.1674,0.0246,0.3185,0.2333,35624515.0,12498510.0,0.2597,5732830.0,4264786.0,4410307.0,-145521.0,431554.0,0.2778,1.3,2.69,2.96,2,11.0,5,0.8561,46.0,32.0,0.6696,0.9428,0.6083,0.7274,0.0241,1,0.6113,0.3917,0.7981,0.6115,0.4435,0.2645,0.0,0.4772,0,34.0,0.1786,7,79.0,0.0132,6.0,178.0,12,2.0,0.5389,0.7932,0.377,0
Construction,Moyenne,Kisangani,5.1,10,77650640.0,74,87444.0,0.7343,0.1943,0.0714,0.418,0.5499,42914717.0,34735923.0,0.4473,9981534.0,6583414.0,5005048.0,1578366.0,301191.0,0.2881,0.65,0.86,0.62,2,10.0,6,0.8107,55.0,71.0,0.5538,0.802,0.5775,0.7852,0.0193,0,0.5238,0.6023,0.852,0.8082,0.1204,0.479,1.0,0.5464,1,114.0,-0.406,12,466.0,-0.0847,6.0,102.0,6,3.6,0.4857,0.5431,0.8718,0
Services,Petite,Kinshasa,1.8,7,12116811.0,88,11474.0,0.8678,0.1225,0.0098,0.2318,0.4563,8835435.0,3281376.0,0.2708,596432.0,849422.0,710821.0,138601.0,114095.0,0.0981,1.43,2.05,0.53,2,6.0,1,0.9108,52.0,78.0,0.7291,0.7388,0.3036,0.8138,0.147,0,0.2379,0.4591,0.6497,0.2278,0.51,0.4594,22.0,0.8297,1,18.0,0.4162,7,453.0,0.0215,5.0,1923.0,12,3.9,0.5513,0.5401,0.5058,0
Services,Micro,Lubumbashi,1.0,4,8078067.0,69,9756.0,0.8659,0.1271,0.007,0.234,0.5413,6423710.0,1654357.0,0.2048,244206.0,616545.0,492991.0,123554.0,17124.0,0.0805,0.96,1.93,1.62,4,24.0,3,0.4745,43.0,41.0,1.0931,0.7291,0.6411,0.7939,0.1638,0,0.501,0.7043,0.5157,0.1807,0.2138,0.3855,52.0,0.7595,0,29.0,0.8392,5,363.0,-0.0457,17.0,955.0,9,4.0,0.1843,0.5199,0.6194,0
Services,Micro,Lubumbashi,4.8,6,16204931.0,73,18499.0,0.876,0.0683,0.0557,0.2249,0.3828,11370689.0,4834242.0,0.2983,1223288.0,1146486.0,1089199.0,57287.0,139337.0,0.0889,1.16,0.61,1.37,3,17.0,5,0.5514,52.0,26.0,0.7408,0.277,0.5556,0.9718,0.0435,0,0.7128,0.6302,0.8634,0.7381,0.3476,0.7125,3.0,0.4595,0,46.0,0.066,6,754.0,0.0173,22.0,139.0,10,3.8,0.2927,0.7668,0.5987,0
Agriculture,Moyenne,Lubumbashi,1.3,8,13238977.0,76,14516.0,0.8637,0.129,0.0073,0.2373,0.4909,7912935.0,5326042.0,0.4023,1863484.0,1237241.0,1022764.0,214477.0,202270.0,0.3065,0.95,2.11,0.79,0,3.0,3,0.7976,61.0,100.0,1.4328,0.8559,0.4076,0.7653,0.0194,0,0.7495,0.5663,0.8944,0.4228,0.1444,0.4394,40.0,0.4536,0,7668.0,0.271,4,66.0,-0.1038,7.0,4527.0,9,3.2,0.6785,0.7361,0.7007,0
Commerce,Micro,Lubumbashi,0.5,16,6693962.0,85,6563.0,0.848,0.138,0.014,0.2617,0.31,4344704.0,2349258.0,0.351,590297.0,602404.0,535348.0,67056.0,51407.0,0.281,0.46,0.55,0.79,0,11.0,2,0.6369,44.0,56.0,0.5432,0.893,0.7527,0.8457,0.0291,0,0.5495,0.8469,0.3771,0.4973,0.1654,0.5707,32.0,0.8576,0,3878.0,0.0765,8,2098.0,-0.02,34.0,462.0,11,3.6,0.9151,0.6929,0.5317,0
Construction,Micro,Lubumbashi,0.5,3,7539391.0,71,8849.0,0.7927,0.1573,0.05,0.3444,0.8168,6138774.0,1400617.0,0.1858,869166.0,704438.0,694307.0,10131.0,75752.0,0.1467,1.27,1.53,1.39,1,3.0,1,0.922,42.0,59.0,0.5702,0.3518,0.5352,0.9185,0.2815,1,0.5523,0.2427,0.889,0.6275,0.1926,0.287,5.0,0.5495,0,163.0,0.5079,12,131.0,-0.0114,33.0,692.0,14,2.8,0.6857,0.8026,0.4717,0
Construction,Micro,Lubumbashi,4.7,5,9438924.0,76,10350.0,0.8881,0.0745,0.0374,0.2043,0.9372,6851466.0,2587458.0,0.2741,1058183.0,831091.0,835456.0,-4365.0,36847.0,0.1862,1.67,3.13,1.24,1,18.0,2,0.787,39.0,29.0,0.2045,0.4605,0.5729,0.337,0.0287,0,0.4089,0.657,0.5858,0.763,0.139,0.4349,16.0,0.717,1,1182.0,0.4078,6,921.0,-0.1034,21.0,35.0,6,4.1,0.8566,0.9126,0.4116,1
Construction,Micro,Kolwezi,2.2,7,3598385.0,79,3796.0,0.7909,0.2017,0.0074,0.3337,0.567,2617260.0,981125.0,0.2727,471535.0,302094.0,281376.0,20718.0,128391.0,0.2297,2.12,2.09,0.32,1,6.0,1,0.4879,71.0,61.0,0.5286,0.738,0.524,0.655,0.01,0,0.7906,0.8347,0.921,0.5929,0.138,0.347,1.0,0.6841,0,466.0,0.0671,8,1067.0,-0.1037,12.0,190.0,12,3.6,0.8322,0.5242,0.6849,0
Transport,Petite,Kinshasa,7.0,12,33050787.0,69,39916.0,0.7605,0.2251,0.0144,0.3708,0.4157,18647576.0,14403211.0,0.4358,4889782.0,2727204.0,2414652.0,312552.0,742134.0,0.1931,0.99,1.83,1.66,2,11.0,3,0.7045,13.0,45.0,0.6325,0.752,0.3858,0.8087,0.0127,0,0.8379,0.5746,0.8904,0.0958,0.7814,0.2876,1.0,0.3106,1,8.0,0.0921,8,655.0,0.0666,12.0,43748.0,9,2.1,0.6516,0.5099,0.4794,0
Manufacture,Micro,Matadi,2.4,3,13759547.0,77,14891.0,0.854,0.0977,0.0483,0.2588,0.5141,10262549.0,3496998.0,0.2542,2028691.0,1071436.0,824003.0,247433.0,470329.0,0.3516,0.38,0.49,1.65,1,0.0,2,0.3759,38.0,33.0,0.5658,0.7537,0.4654,0.9825,0.0494,1,0.6574,0.6348,0.7076,0.5421,0.5353,0.4822,9.0,0.2506,0,224.0,0.4167,5,1366.0,0.0025,9.0,17.0,10,4.1,0.6826,0.6654,0.6567,1
Manufacture,Micro,Lubumbashi,3.3,2,10119207.0,85,9921.0,0.7882,0.1614,0.0504,0.3502,0.1596,7155825.0,2963382.0,0.2928,912803.0,970006.0,942073.0,27933.0,324696.0,0.6204,1.01,1.32,2.81,4,29.0,2,0.7478,47.0,79.0,0.7794,0.3905,0.7834,0.9255,0.0472,0,0.4225,0.8748,0.4452,0.1342,0.041,0.617,25.0,0.4613,0,18.0,-0.0114,12,283.0,0.0333,11.0,79708.0,12,3.1,0.7523,0.8208,0.401,0
Services,Micro,Bukavu,2.6,12,3865397.0,91,3540.0,0.8436,0.1485,0.0078,0.2662,0.747,3384003.0,481394.0,0.1245,244886.0,317739.0,306076.0,11663.0,39792.0,0.1767,0.92,0.39,1.75,5,8.0,1,0.7458,18.0,104.0,0.5852,0.5288,0.9238,0.8635,0.0612,0,0.842,0.6818,0.6775,0.3352,0.1542,0.2508,0.0,0.7063,0,35.0,-0.1068,6,1136.0,0.0929,12.0,429.0,8,3.2,0.8359,0.1846,0.7237,0
Manufacture,Micro,Kisangani,5.3,2,3640212.0,95,3193.0,0.5765,0.3788,0.0448,0.5222,0.5482,2515063.0,1125149.0,0.3091,445785.0,268690.0,220534.0,48156.0,53930.0,0.3032,1.42,1.27,1.97,4,0.0,1,0.9581,63.0,87.0,0.3187,0.5406,0.8751,0.7812,0.0308,0,0.5204,0.5116,0.6211,0.53,0.3356,0.3526,20.0,0.7952,1,2.0,0.4835,7,149.0,0.1065,5.0,2927.0,11,4.7,0.7734,0.61,0.8589,0
Services,Moyenne,Lubumbashi,2.2,20,149543348.0,97,128474.0,0.7108,0.2261,0.0631,0.4397,0.9201,115958424.0,33584924.0,0.2246,16649240.0,13693265.0,13265310.0,427955.0,2681235.0,0.3173,0.51,0.62,1.95,1,1.0,4,0.7576,38.0,51.0,0.575,0.8059,0.4773,0.7878,0.1218,0,0.3981,0.7595,0.851,0.298,0.1532,0.304,33.0,0.5492,0,1396.0,-0.0543,11,240.0,0.1351,16.0,2194.0,11,4.4,0.7331,0.371,0.2926,0
Services,Micro,Lubumbashi,16.6,6,6901788.0,85,6766.0,0.7639,0.1559,0.0802,0.3857,0.2696,6185931.0,715857.0,0.1037,841194.0,537760.0,440617.0,97143.0,202942.0,0.3807,0.7,4.87,2.34,1,25.0,3,0.6315,36.0,28.0,0.7291,0.6444,0.7043,0.8628,0.0222,0,0.7744,0.7818,0.512,0.2689,0.1553,0.1833,6.0,0.6016,1,152.0,0.6607,7,134.0,-0.1437,58.0,2157.0,14,3.2,0.6257,0.6105,0.5289,1
Transport,Moyenne,Lubumbashi,13.8,2,30481609.0,85,29884.0,0.7105,0.2628,0.0267,0.4254,0.3362,23150785.0,7330824.0,0.2405,1798360.0,2259163.0,2151877.0,107286.0,518626.0,0.6173,0.64,0.68,0.64,3,23.0,4,0.7414,44.0,55.0,0.4278,0.3369,0.3738,0.531,0.0214,1,0.906,0.6175,0.916,0.2899,0.2554,0.3631,3.0,0.5911,1,23.0,0.1784,10,318.0,0.0455,11.0,314.0,11,4.0,0.8905,0.3038,0.5411,0
Agriculture,Micro,Lubumbashi,9.4,5,17808054.0,95,15621.0,0.6774,0.307,0.0157,0.4466,0.6904,9990686.0,7817368.0,0.439,1706145.0,1656774.0,1315810.0,340964.0,374780.0,0.0706,0.84,3.48,1.45,0,2.0,1,0.7903,29.0,61.0,1.6003,0.8149,0.792,0.6914,0.036,1,0.9127,0.6909,0.9378,0.2569,0.2004,0.6234,14.0,0.3091,1,76.0,0.7925,14,481.0,-0.007,7.0,72.0,7,3.1,0.6716,0.6873,0.1972,0
Agriculture,Micro,Matadi,12.6,10,524276.0,95,460.0,0.7569,0.2421,0.001,0.3685,0.5641,308058.0,216218.0,0.4124,23108.0,42772.0,43785.0,-1013.0,11571.0,0.3101,0.91,3.54,1.31,2,19.0,3,0.4204,25.0,67.0,1.2958,0.5378,0.6278,0.8388,0.0247,1,0.3705,0.4226,0.8664,0.5799,0.3158,0.7673,23.0,0.6845,1,4072.0,0.7385,5,131.0,0.0937,8.0,4129.0,11,4.1,0.9744,0.4884,0.5617,0
Commerce,Moyenne,Kisangani,3.0,4,125892760.0,97,108155.0,0.9109,0.0805,0.0087,0.1637,0.6858,114277081.0,11615679.0,0.0923,6110346.0,9244789.0,8037552.0,1207237.0,701367.0,0.0842,0.67,0.25,1.91,1,12.0,1,0.6321,55.0,121.0,0.4137,0.3617,0.7227,0.628,0.0244,0,0.309,0.8325,0.9359,0.2566,0.1855,0.2858,8.0,0.568,0,55.0,0.0981,9,575.0,-0.0943,5.0,55.0,15,3.5,0.8998,0.494,0.5694,0
Manufacture,Micro,Kinshasa,3.8,7,33294433.0,71,39078.0,0.8227,0.1519,0.0254,0.2994,0.1886,25113207.0,8181226.0,0.2457,2263984.0,2965857.0,2760883.0,204974.0,613746.0,0.1654,1.65,3.34,1.1,4,21.0,0,0.8452,10.0,73.0,0.9758,0.4903,0.4913,0.5694,0.0085,0,0.6192,0.6808,0.8506,0.3253,0.2637,0.6911,4.0,0.5426,1,144.0,0.614,10,258.0,-0.0121,63.0,22.0,10,3.3,0.828,0.5823,0.7283,0
Commerce,Petite,Kinshasa,6.8,13,5831564.0,70,6942.0,0.715,0.2769,0.0081,0.412,0.6598,3615789.0,2215775.0,0.38,655277.0,547574.0,444634.0,102940.0,115561.0,0.2448,2.15,1.65,2.91,2,5.0,3,0.701,65.0,35.0,1.2281,0.5991,0.6451,0.7069,0.0041,0,0.4446,0.4611,0.8515,0.2851,0.2436,0.8199,49.0,0.8871,0,181.0,0.1279,12,304.0,-0.0224,97.0,155.0,12,2.6,0.1512,0.514,0.3078,0
Agriculture,Moyenne,Lubumbashi,6.0,6,14160404.0,74,15946.0,0.793,0.1833,0.0237,0.337,0.4928,10762906.0,3397498.0,0.2399,843742.0,1132819.0,1139260.0,-6441.0,238598.0,0.3136,0.31,0.56,1.86,1,1.0,2,0.4522,37.0,45.0,0.3736,0.4054,0.6562,0.8314,0.0103,1,0.7696,0.5123,0.54,0.6914,0.1653,0.4731,28.0,0.8508,0,2621.0,-0.2403,10,99.0,-0.0655,28.0,141.0,8,2.6,0.8094,0.7876,0.2126,0
Manufacture,Micro,Kinshasa,11.1,3,3689421.0,81,3796.0,0.7676,0.2094,0.023,0.3664,0.2859,3336116.0,353305.0,0.0958,231349.0,274600.0,285714.0,-11114.0,40400.0,0.1871,1.1,1.2,2.1,0,2.0,6,0.6358,48.0,46.0,0.4893,0.7758,0.1742,0.464,0.0337,0,0.713,0.818,0.846,0.0723,0.2213,0.3882,9.0,0.499,0,171.0,0.0867,6,572.0,-0.014,31.0,159.0,15,4.8,0.5515,0.319,0.8469,0
Commerce,Micro,Goma,6.3,5,131099164.0,96,113801.0,0.8514,0.1263,0.0223,0.2587,0.7903,74279048.0,56820116.0,0.4334,16241476.0,8846675.0,7444706.0,1401969.0,3575382.0,0.1197,3.03,0.87,0.89,2,41.0,7,0.4329,37.0,37.0,1.5159,0.5841,0.8324,0.6417,0.0659,0,0.6556,0.786,0.8808,0.4712,0.3109,0.496,14.0,0.7822,0,2415.0,0.4643,9,175.0,-0.0206,15.0,37.0,6,4.4,0.832,0.8209,0.4031,0
Manufacture,Petite,Kinshasa,30.0,22,4929809.0,90,4565.0,0.8048,0.173,0.0223,0.3219,0.5651,3672848.0,1256961.0,0.255,683924.0,471324.0,382394.0,88930.0,94063.0,0.065,1.07,0.67,1.38,3,4.0,1,0.8255,53.0,29.0,0.6639,0.5274,0.5436,0.506,0.042,1,0.8638,0.828,0.6641,0.202,0.4998,0.3294,4.0,0.8585,0,707.0,-0.0558,9,1313.0,0.1392,9.0,3861.0,10,2.5,0.6331,0.6026,0.5407,0
Commerce,Micro,Goma,2.1,28,7820814.0,113,5768.0,0.8805,0.0967,0.0227,0.2149,0.5905,4695401.0,3125413.0,0.3996,1010441.0,638132.0,581360.0,56772.0,108413.0,0.3421,0.62,2.32,1.13,4,46.0,3,0.4099,38.0,53.0,0.4083,0.7427,0.7696,0.7374,0.0022,0,0.6102,0.9484,0.9493,0.7496,0.1236,0.5399,6.0,0.5039,0,121.0,1.0,6,320.0,-0.0733,30.0,327.0,13,3.3,0.6824,0.514,0.7347,1
Commerce,Micro,Kinshasa,8.9,1,6104439.0,86,5915.0,0.8052,0.1336,0.0612,0.3301,0.7224,4366484.0,1737955.0,0.2847,268751.0,587670.0,609643.0,-21973.0,372069.0,0.4628,0.72,0.89,1.27,2,10.0,1,0.9617,79.0,39.0,0.594,0.9331,0.7816,0.7424,0.0501,1,0.6983,0.7737,0.9512,0.2481,0.2958,0.6402,4.0,0.7504,1,482.0,0.3498,7,105.0,0.1222,13.0,981.0,14,3.4,0.6585,0.2048,0.4183,0
Construction,Micro,Lubumbashi,6.0,17,16134256.0,71,18937.0,0.6805,0.3119,0.0076,0.4396,0.2807,12781366.0,3352890.0,0.2078,1282760.0,1454544.0,1423941.0,30603.0,106004.0,0.1413,1.84,2.19,2.28,5,9.0,5,0.9284,66.0,46.0,0.732,0.754,0.8458,0.4119,0.0264,1,0.7727,0.9213,0.3673,0.3196,0.23,0.2392,4.0,0.4279,0,9049.0,0.3758,4,215.0,0.0183,7.0,19.0,14,2.8,0.517,0.189,0.8592,0
Agriculture,Micro,Bukavu,5.9,9,75858461.0,75,84287.0,0.6879,0.2492,0.063,0.4607,0.377,54609749.0,21248712.0,0.2801,8451644.0,6307374.0,6591994.0,-284620.0,1265176.0,0.2533,0.77,1.3,1.69,0,52.0,4,0.948,43.0,15.0,1.6838,0.3446,0.5457,0.4263,0.2267,1,0.5813,0.5695,0.7437,0.3556,0.406,0.5207,30.0,0.5439,0,74.0,0.138,4,814.0,0.0391,12.0,3781.0,7,3.7,0.6596,0.222,0.423,0
Commerce,Petite,Lubumbashi,2.0,15,125428864.0,81,129042.0,0.7556,0.2189,0.0256,0.3805,0.2971,113668309.0,11760555.0,0.0938,14121084.0,11283436.0,11426116.0,-142680.0,112315.0,0.169,1.63,1.22,0.45,0,3.0,4,0.7067,53.0,35.0,0.6958,0.9136,0.4913,0.8238,0.0718,1,0.5643,0.8345,0.7833,0.5937,0.1162,0.5546,8.0,0.3789,0,4.0,0.2542,8,743.0,-0.0907,35.0,137.0,12,3.2,0.6774,0.7065,0.3218,0
Manufacture,Micro,Kolwezi,7.7,4,9076549.0,57,13270.0,0.7385,0.1715,0.09,0.4171,0.2803,6955352.0,2121197.0,0.2337,649782.0,699237.0,668429.0,30808.0,67844.0,0.378,0.91,0.47,0.01,0,19.0,4,0.7063,28.0,42.0,0.7992,0.7936,0.9654,0.5386,0.0208,1,0.2034,0.6292,0.7942,0.5247,0.2114,0.1656,15.0,0.6731,1,134.0,-0.198,8,386.0,-0.0734,190.0,70.0,8,3.5,0.8955,0.6811,0.6138,0
Services,Micro,Kisangani,11.5,1,23066935.0,92,20894.0,0.8326,0.154,0.0134,0.2829,0.4882,20910913.0,2156022.0,0.0935,1722389.0,1689493.0,1360695.0,328798.0,486024.0,0.2072,0.76,0.91,2.67,1,2.0,3,0.6607,48.0,74.0,0.5811,0.895,0.7862,0.8606,0.0315,1,0.4737,0.633,0.6782,0.3371,0.1228,0.5327,12.0,0.3861,0,43.0,0.2489,6,434.0,0.0393,33.0,68.0,13,4.5,0.5751,0.5444,0.6144,0
